timestamp,checkpoint,agent_name,drift_score,above_threshold,current_dist,baseline_dist
2026-05-14T19:33:38,100,IncomeAgent,0.0432,False,"{""approve"": 0.74, ""refer"": 0.26, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-14T19:33:38,100,FraudAgent,0.1781,True,"{""approve"": 0.72, ""refer"": 0.27, ""reject"": 0.0, ""unknown"": 0.01}","{""approve"": 0.55, ""refer"": 0.45, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-14T19:33:38,100,CreditAgent,0.0571,False,"{""approve"": 0.76, ""refer"": 0.24, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-14T19:33:38,100,ComplianceAgent,0.037,False,"{""approve"": 0.73, ""refer"": 0.27, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-14T19:33:38,100,SummariserAgent,0.1532,True,"{""approve"": 0.73, ""refer"": 0.26, ""reject"": 0.01, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-14T19:33:38,100,WeakModelAgent,0.0499,False,"{""approve"": 0.75, ""refer"": 0.25, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-15T22:22:41,150,RouterManager,0.0675,False,"{""approve"": 0.7733, ""refer"": 0.2267, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-15T22:22:41,150,IncomeAgent,0.0675,False,"{""approve"": 0.7733, ""refer"": 0.2267, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-15T22:22:41,150,FraudAgent,0.1586,True,"{""approve"": 0.7467, ""refer"": 0.2467, ""reject"": 0.0, ""unknown"": 0.0067}","{""approve"": 0.55, ""refer"": 0.45, ""reject"": 0.0, ""unknown"": 0.0}"
2026-05-15T22:22:41,150,CreditAgent,0.0851,False,"{""approve"": 0.7933, ""refer"": 0.2067, ""reject"": 0.0, ""unknown"": 0.0}","{""approve"": 0.6, ""refer"": 0.4, ""reject"": 0.0, ""unknown"": 0.0}"
